material,arc_deg,w_time,status,ks_final,ks_max_equiv,rms,viol,dist_viol_upper,dist_viol_lower,gpr_usage_pct,r_mean,r_std,total_steps,arc_steps
"线性(ks=30,对照)",30,0.5,OK,32.75,30.1,0.3843,0.0,0.0,0.0,0.0,0.5266,0.00544,390,60
"线性(ks=30,对照)",30,2.0,OK,32.75,30.1,0.3843,0.0,0.0,0.0,0.0,0.5266,0.00516,390,60
"线性(ks=30,对照)",60,0.5,OK,32.75,30.1,0.1663,0.0,0.0,0.0,0.0,0.5158,0.00373,800,470
"线性(ks=30,对照)",60,2.0,OK,32.75,30.1,0.1662,0.0,0.0,0.0,0.0,0.5165,0.0035,800,470
"线性(ks=30,对照)",90,0.5,OK,32.75,30.1,0.1663,0.0,0.0,0.0,0.0,0.5158,0.00373,800,470
"线性(ks=30,对照)",90,2.0,OK,32.75,30.1,0.1662,0.0,0.0,0.0,0.0,0.5165,0.0035,800,470
渐进硬化,30,0.5,OK,17.42,15.1,0.2638,0.0,0.0,0.0,0.0,0.5559,0.00245,471,136
渐进硬化,30,2.0,OK,17.42,15.1,0.2703,0.0,0.0,0.0,0.0,0.5569,0.00062,468,133
渐进硬化,60,0.5,OK,17.42,15.1,0.2371,0.0,0.0,0.0,0.0,0.5528,0.00373,583,248
渐进硬化,60,2.0,OK,17.42,15.1,0.255,0.0,0.0,0.0,0.0,0.5549,0.00227,581,246
渐进硬化,90,0.5,OK,17.42,15.1,0.218,0.0,0.0,0.0,0.0,0.551,0.00398,699,364
渐进硬化,90,2.0,OK,17.42,15.1,0.2338,0.0,0.0,0.0,0.0,0.5528,0.00357,698,363
迟滞,30,0.5,OK,19.91,20.4,0.272,0.0,0.0,0.0,0.0,0.5342,0.00242,655,148
迟滞,30,2.0,OK,19.91,20.4,0.2503,0.0,0.0,0.0,0.0,0.5322,0.00299,657,150
迟滞,60,0.5,OK,19.91,20.4,0.2408,0.0,0.0,0.0,0.0,0.5331,0.00217,764,257
迟滞,60,2.0,OK,19.91,20.4,0.2127,0.0,0.0,0.0,0.0,0.5306,0.00286,765,258
迟滞,90,0.5,OK,19.91,20.4,0.2335,0.0,0.0,0.0,0.0,0.5327,0.00219,800,293
迟滞,90,2.0,OK,19.91,20.4,0.2045,0.0,0.0,0.0,0.0,0.5301,0.00294,800,293
分段各向异性,30,0.5,OK,200.0,48.1,0.1006,0.0,0.0,0.0,0.0,0.5459,0.00051,718,123
分段各向异性,30,2.0,OK,200.0,48.1,0.1006,0.0,0.0,0.0,0.0,0.5458,0.0005,718,123
分段各向异性,60,0.5,OK,200.0,48.1,0.1023,0.0,0.0,0.0,0.0,0.546,0.00043,800,205
分段各向异性,60,2.0,OK,200.0,48.1,0.1023,0.0,0.0,0.0,0.0,0.546,0.00043,800,205
分段各向异性,90,0.5,OK,200.0,48.1,0.1023,0.0,0.0,0.0,0.0,0.546,0.00043,800,205
分段各向异性,90,2.0,OK,200.0,48.1,0.1023,0.0,0.0,0.0,0.0,0.546,0.00043,800,205
