ks,arc_deg,w_time,status,ks_final,ks_final_err_pct,rms,viol,dist_viol_upper,dist_viol_lower,r_mean,r_std,total_steps,arc_steps
10,30,0.5,OK,11.57,15.7,0.5368,0.0,0.0,0.0,0.5791,0.00662,408,71
10,30,2.0,OK,11.57,15.7,0.5368,0.0,0.0,0.0,0.5791,0.00662,408,71
10,60,0.5,OK,11.57,15.7,0.5437,0.0,0.0,0.0,0.5642,0.01884,464,127
10,60,2.0,OK,11.57,15.7,0.5437,0.0,0.0,0.0,0.5642,0.01884,464,127
10,90,0.5,OK,11.57,15.7,0.5472,0.0,0.0,0.0,0.5607,0.01869,491,154
10,90,2.0,OK,11.57,15.7,0.5472,0.0,0.0,0.0,0.5607,0.01869,491,154
30,30,0.5,OK,32.75,9.2,0.4724,0.0,0.0,0.0,0.5235,0.00684,459,129
30,30,2.0,OK,32.75,9.2,0.4724,0.0,0.0,0.0,0.5235,0.00684,459,129
30,60,0.5,OK,32.75,9.2,0.4718,0.0,0.0,0.0,0.5231,0.0061,490,160
30,60,2.0,OK,32.75,9.2,0.4718,0.0,0.0,0.0,0.5231,0.0061,490,160
30,90,0.5,OK,32.75,9.2,0.4772,0.0,0.0,0.0,0.523,0.00564,516,186
30,90,2.0,OK,32.75,9.2,0.4772,0.0,0.0,0.0,0.523,0.00564,516,186
50,30,0.5,OK,52.62,5.2,0.4178,0.0,0.0,0.0,0.5123,0.00427,531,113
50,30,2.0,OK,52.62,5.2,0.4178,0.0,0.0,0.0,0.5123,0.00427,531,113
50,60,0.5,OK,52.62,5.2,0.7316,0.0,0.0,0.0,0.514,0.00643,574,156
50,60,2.0,OK,52.62,5.2,0.7316,0.0,0.0,0.0,0.514,0.00643,574,156
50,90,0.5,OK,52.62,5.2,0.7395,0.0,0.0,0.0,0.5143,0.00648,595,177
50,90,2.0,OK,52.62,5.2,0.7395,0.0,0.0,0.0,0.5143,0.00648,595,177
100,30,0.5,OK,103.91,3.9,0.8071,0.0,0.0,5.7,0.5087,0.00488,800,385
100,30,2.0,OK,103.91,3.9,0.8071,0.0,0.0,5.7,0.5087,0.00488,800,385
100,60,0.5,OK,103.91,3.9,0.8071,0.0,0.0,5.7,0.5087,0.00488,800,385
100,60,2.0,OK,103.91,3.9,0.8071,0.0,0.0,5.7,0.5087,0.00488,800,385
100,90,0.5,OK,103.91,3.9,0.8071,0.0,0.0,5.7,0.5087,0.00488,800,385
100,90,2.0,OK,103.91,3.9,0.8071,0.0,0.0,5.7,0.5087,0.00488,800,385
